experiment,experiment_label,variant,variant_label,delay_label,act_min,act_max,obs_min,obs_max,seed,train_steps,episode,episode_steps,true_return,delayed_return,mean_distance,final_distance,min_distance,success
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,513000,3000,3,90,-174.52551591396332,-157.64273273944855,1.9391723990440368,1.688278317451477,1.687502145767212,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,513000,3000,4,90,-157.1500723361969,-141.73522639274597,1.7461119148466322,1.5414845943450928,1.5414845943450928,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,514000,4000,0,90,-180.69011867046356,-162.74925768375397,2.007667985227373,1.7940860986709595,1.7915868759155273,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,514000,4000,1,90,-166.5246810913086,-151.4008083343506,1.8502742343478733,1.5123872756958008,1.5123872756958008,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,514000,4000,2,90,-170.06519997119904,-153.44710791110992,1.8896133330133227,1.6618092060089111,1.6618092060089111,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,514000,4000,3,90,-174.31908082962036,-157.5987560749054,1.9368786758846708,1.6720324754714966,1.6720324754714966,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,514000,4000,4,90,-178.05453193187714,-160.84903848171234,1.978383688131968,1.7205493450164795,1.7205493450164795,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,515000,5000,0,90,-180.53261530399323,-160.08925449848175,2.005917947822147,2.0443360805511475,1.9778155088424683,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,515000,5000,1,90,-200.63351273536682,-178.20652842521667,2.2292612526151867,2.2426984310150146,2.204540967941284,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,515000,5000,2,90,-179.2224314212799,-159.80950736999512,1.9913603491253322,1.941292405128479,1.934665560722351,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,515000,5000,3,90,-175.33854734897614,-155.67530405521393,1.9482060816552904,1.9663243293762207,1.9220800399780273,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,515000,5000,4,90,-192.37844586372375,-170.62579989433289,2.137538287374708,2.175264596939087,2.093651294708252,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,516000,6000,0,90,-181.5851571559906,-163.7555136680603,2.0176128572887846,1.7829643487930298,1.7829643487930298,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,516000,6000,1,90,-183.63020741939545,-165.87322795391083,2.040335637993283,1.775697946548462,1.775697946548462,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,516000,6000,2,90,-175.01776826381683,-156.90493834018707,1.9446418695979648,1.811282992362976,1.811282992362976,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,516000,6000,3,90,-175.4394588470459,-158.1779191493988,1.9493273205227322,1.7261539697647095,1.7261539697647095,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,516000,6000,4,90,-177.34578680992126,-160.0509865283966,1.9705087423324585,1.7294800281524658,1.7294800281524658,0.0
constant,Constant delay,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,501000,1000,0,90,-185.97459888458252,-166.1708447933197,2.066384432050917,1.9803754091262817,1.979715347290039,0.0
constant,Constant delay,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,501000,1000,1,90,-165.56312215328217,-148.79849088191986,1.8395902461475797,1.6764631271362305,1.6764631271362305,0.0
constant,Constant delay,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,501000,1000,2,90,-173.8101282119751,-155.58944249153137,1.9312236467997232,1.8220685720443726,1.8220685720443726,0.0
constant,Constant delay,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,501000,1000,3,90,-166.43311321735382,-149.19433653354645,1.8492568135261536,1.7238776683807373,1.71732759475708,0.0
constant,Constant delay,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,501000,1000,4,90,-151.40235078334808,-135.50344598293304,1.682248342037201,1.589890480041504,1.589890480041504,0.0
constant,Constant delay,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,502000,2000,0,90,-204.05959701538086,-181.0088405609131,2.267328855726454,2.3050756454467773,2.1990318298339844,0.0
constant,Constant delay,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,502000,2000,1,90,-215.98015975952148,-191.75990533828735,2.399779552883572,2.422025442123413,2.3676016330718994,0.0
constant,Constant delay,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,502000,2000,2,90,-194.9505171775818,-172.84730052947998,2.1661168575286864,2.2103216648101807,2.108532190322876,0.0
constant,Constant delay,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,502000,2000,3,90,-176.77364432811737,-156.84005224704742,1.9641516036457485,1.9933592081069946,1.9239073991775513,0.0
